tconst,averageRating,numVotes
tt13611850, 9.3 ," 31,144 "
tt1232249, 9.3 ," 28,636 "
tt1349460, 9.3 ," 27,088 "
tt1232247, 9.3 ," 26,721 "
tt1683095, 9.3 ," 25,498 "
tt1615556, 9.3 ," 25,362 "
tt2779318, 9.3 ," 18,761 "
tt2253602, 9.3 ," 17,200 "
tt3333846, 9.3 ," 16,666 "
tt0150742, 9.3 ," 16,270 "
tt3097534, 9.3 ," 14,946 "
tt28453133, 9.3 ," 13,552 "
tt10906308, 9.3 ," 12,786 "
tt15041334, 9.3 ," 12,259 "
tt1591786, 9.3 ," 11,751 "
tt3551076, 9.3 ," 10,667 "
tt3599918, 9.3 ," 10,370 "
tt0944947, 9.2 ," 2,191,404 "
tt0068646, 9.2 ," 1,937,492 "
tt0141842, 9.2 ," 434,222 "
tt14392248, 9.2 ," 303,786 "
tt0252487, 9.2 ," 42,035 "
tt11198354, 9.2 ," 35,660 "
tt2781046, 9.2 ," 31,203 "
tt2081647, 9.2 ," 30,391 "
tt2301443, 9.2 ," 28,845 "
tt1232255, 9.2 ," 28,224 "
tt0314123, 9.2 ," 28,178 "
tt1589921, 9.2 ," 27,942 "
tt15163002, 9.2 ," 27,407 "
tt0071075, 9.2 ," 27,201 "
tt1683084, 9.2 ," 27,068 "
tt1232248, 9.2 ," 26,308 "
tt14525206, 9.2 ," 25,205 "
tt15215460, 9.2 ," 21,816 "
tt10023452, 9.2 ," 19,996 "
tt2790238, 9.2 ," 19,049 "
tt2790240, 9.2 ," 18,706 "
tt1804271, 9.2 ," 18,509 "
tt3316800, 9.2 ," 17,802 "
tt3853928, 9.2 ," 17,474 "
tt1804265, 9.2 ," 17,432 "
tt2879076, 9.2 ," 17,377 "
tt18484352, 9.2 ," 15,899 "
tt2928456, 9.2 ," 15,748 "
tt0291337, 9.2 ," 15,667 "
tt3174242, 9.2 ," 14,630 "
tt0397042, 9.2 ," 14,595 "
tt2006890, 9.2 ," 14,141 "
tt12772748, 9.2 ," 14,100 "
tt12557688, 9.2 ," 13,918 "
tt12984026, 9.2 ," 12,914 "
tt15496430, 9.2 ," 12,855 "
tt0259534, 9.2 ," 12,521 "
tt15496436, 9.2 ," 12,279 "
tt10454732, 9.2 ," 12,109 "
tt0636289, 9.2 ," 12,090 "
tt15496432, 9.2 ," 11,881 "
tt0562998, 9.2 ," 11,773 "
tt10573626, 9.2 ," 11,521 "
tt0239023, 9.2 ," 10,811 "
tt0846694, 9.2 ," 10,191 "
tt1475582, 9.1 ," 961,694 "
tt2861424, 9.1 ," 562,764 "
tt2560140, 9.1 ," 426,002 "
tt1355642, 9.1 ," 183,178 "
tt11957006, 9.1 ," 108,353 "
tt14500884, 9.1 ," 99,598 "
tt1831164, 9.1 ," 95,188 "
tt0052520, 9.1 ," 88,663 "
tt3973198, 9.1 ," 65,394 "
tt2592910, 9.1 ," 46,809 "
tt3866862, 9.1 ," 45,364 "
tt11198348, 9.1 ," 45,163 "
tt1533395, 9.1 ," 41,923 "
tt21279678, 9.1 ," 38,777 "
tt14342824, 9.1 ," 37,461 "
tt1837863, 9.1 ," 37,023 "
tt1837862, 9.1 ," 36,514 "
tt2178796, 9.1 ," 34,035 "
tt12810166, 9.1 ," 31,427 "
tt2301447, 9.1 ," 30,113 "
tt1282022, 9.1 ," 29,821 "
tt3845888, 9.1 ," 28,188 "
tt1232256, 9.1 ," 26,878 "
tt1877514, 9.1 ," 26,469 "
tt14526270, 9.1 ," 25,886 "
tt13052868, 9.1 ," 25,835 "
tt2825724, 9.1 ," 24,197 "
tt14986406, 9.1 ," 22,933 "
tt1712064, 9.1 ," 21,394 "
tt1094581, 9.1 ," 21,090 "
tt2790184, 9.1 ," 20,491 "
tt1073664, 9.1 ," 19,673 "
tt10530900, 9.1 ," 19,440 "
tt1073668, 9.1 ," 19,205 "
tt12187028, 9.1 ," 18,971 "
tt13380510, 9.1 ," 18,394 "
tt0098769, 9.1 ," 17,520 "
tt3260612, 9.1 ," 17,383 "
tt15163022, 9.1 ," 17,195 "
tt1839558, 9.1 ," 16,377 "
tt1804264, 9.1 ," 15,792 "
tt13847624, 9.1 ," 15,452 "
tt3104218, 9.1 ," 14,798 "
tt3134450, 9.1 ," 14,450 "
tt1127708, 9.1 ," 13,711 "
tt15163018, 9.1 ," 12,984 "
tt13848062, 9.1 ," 12,118 "
tt1199781, 9.1 ," 12,021 "
tt10457652, 9.1 ," 12,004 "
tt15163014, 9.1 ," 11,663 "
tt2461638, 9.1 ," 11,219 "
tt0366758, 9.1 ," 11,142 "
tt10655696, 9.1 ," 10,892 "
tt15163008, 9.1 ," 10,667 "
tt13854248, 9.1 ," 10,535 "
tt0468569, 9.0 ," 2,760,903 "
tt0167260, 9.0 ," 1,907,130 "
tt0108052, 9.0 ," 1,400,193 "
tt0071562, 9.0 ," 1,316,854 "
tt0050083, 9.0 ," 826,113 "
tt0386676, 9.0 ," 658,699 "
tt3032476, 9.0 ," 595,870 "
tt0303461, 9.0 ," 274,172 "
tt11126994, 9.0 ," 238,424 "
tt2098220, 9.0 ," 116,694 "
tt0103359, 9.0 ," 110,435 "
tt28475739, 9.0 ," 57,158 "
tt0081912, 9.0 ," 54,482 "
tt10541088, 9.0 ," 49,770 "
tt15747178, 9.0 ," 41,761 "
tt0296310, 9.0 ," 41,381 "
tt0959621, 9.0 ," 40,260 "
tt2816136, 9.0 ," 37,281 "
tt1829964, 9.0 ," 36,938 "
tt3060876, 9.0 ," 33,370 "
tt2092588, 9.0 ," 31,974 "
tt1664530, 9.0 ," 28,629 "
tt13971296, 9.0 ," 27,448 "
tt1806234, 9.0 ," 27,175 "
tt0092337, 9.0 ," 26,842 "
tt2301465, 9.0 ," 26,522 "
tt10161340, 9.0 ," 26,263 "
tt12188568, 9.0 ," 24,942 "
tt1201133, 9.0 ," 24,755 "
tt1800763, 9.0 ," 23,732 "
tt1125798, 9.0 ," 23,715 "
tt0268093, 9.0 ," 22,637 "
tt3554580, 9.0 ," 21,991 "
tt0158417, 9.0 ," 21,390 "
tt18211918, 9.0 ," 20,723 "
tt13675832, 9.0 ," 18,306 "
tt1518542, 9.0 ," 17,457 "
tt4044024, 9.0 ," 17,257 "
tt3333832, 9.0 ," 16,246 "
tt3333834, 9.0 ," 16,036 "
tt3689244, 9.0 ," 15,303 "
tt15387948, 9.0 ," 14,573 "
tt3158344, 9.0 ," 14,470 "
tt3174238, 9.0 ," 14,445 "
tt12396812, 9.0 ," 14,066 "
tt11748808, 9.0 ," 13,853 "
tt1508238, 9.0 ," 13,477 "
tt12557694, 9.0 ," 13,395 "
tt17592606, 9.0 ," 13,375 "
tt11997264, 9.0 ," 13,155 "
tt0462271, 9.0 ," 12,744 "
tt10454722, 9.0 ," 12,094 "
tt0416779, 9.0 ," 11,417 "
tt3212600, 9.0 ," 10,426 "
tt0110912, 8.9 ," 2,134,941 "
tt0108778, 8.9 ," 1,039,546 "
tt2356777, 8.9 ," 604,303 "
tt2802850, 8.9 ," 387,111 "
tt0877057, 8.9 ," 351,827 "
tt0098904, 8.9 ," 335,978 "
tt0388629, 8.9 ," 169,632 "
tt0213338, 8.9 ," 129,500 "
tt1865718, 8.9 ," 123,041 "
tt3530232, 8.9 ," 92,792 "
tt0200276, 8.9 ," 81,598 "
tt12004706, 8.9 ," 78,118 "
tt1480055, 8.9 ," 52,213 "
tt0802999, 8.9 ," 36,461 "
tt2297757, 8.9 ," 35,085 "
tt1837864, 8.9 ," 34,650 "
tt11989890, 8.9 ," 33,504 "
tt1665071, 8.9 ," 32,474 "
tt1795096, 8.9 ," 31,536 "
tt2085238, 8.9 ," 31,449 "
tt2178788, 8.9 ," 30,968 "
tt2178806, 8.9 ," 30,331 "
tt13605712, 8.9 ," 29,919 "
tt2781042, 8.9 ," 28,094 "
tt1909015, 8.9 ," 27,288 "
tt10161318, 8.9 ," 24,656 "
tt2657398, 8.9 ," 24,316 "
tt0252488, 8.9 ," 24,106 "
tt0253828, 8.9 ," 24,072 "
tt1232246, 8.9 ," 23,779 "
tt13052876, 8.9 ," 23,186 "
tt10161338, 8.9 ," 22,867 "
tt14026060, 8.9 ," 22,701 "
tt13776714, 8.9 ," 22,632 "
tt16492678, 8.9 ," 20,522 "
tt3857028, 8.9 ," 20,407 "
tt15295490, 8.9 ," 16,705 "
tt2571774, 8.9 ," 16,656 "
tt13868972, 8.9 ," 16,573 "
tt0278784, 8.9 ," 16,130 "
tt2899140, 8.9 ," 15,914 "
tt2928458, 8.9 ," 15,381 "
tt3034014, 8.9 ," 14,650 "
tt3122060, 8.9 ," 14,237 "
tt3915096, 8.9 ," 13,406 "
tt1706601, 8.9 ," 13,189 "
tt2253608, 8.9 ," 13,184 "
tt3853924, 8.9 ," 13,138 "
tt14048850, 8.9 ," 13,131 "
tt15163020, 8.9 ," 12,834 "
tt11997262, 8.9 ," 12,783 "
tt12557686, 8.9 ," 12,747 "
tt15496392, 8.9 ," 12,191 "
tt3468818, 8.9 ," 11,576 "
tt0075143, 8.9 ," 10,019 "
tt1375666, 8.8 ," 2,451,142 "
tt0137523, 8.8 ," 2,217,710 "
tt0109830, 8.8 ," 2,164,272 "
tt0120737, 8.8 ," 1,935,305 "
tt0167261, 8.8 ," 1,720,952 "
tt0060196, 8.8 ," 785,394 "
tt2442560, 8.8 ," 597,687 "
tt2707408, 8.8 ," 448,971 "
tt3581920, 8.8 ," 446,547 "
tt10986410, 8.8 ," 300,405 "
tt0472954, 8.8 ," 240,593 "
tt15097216, 8.8 ," 209,025 "
tt0098936, 8.8 ," 206,579 "
tt3398228, 8.8 ," 174,239 "
tt0193676, 8.8 ," 148,669 "
tt0214341, 8.8 ," 139,456 "
tt0264235, 8.8 ," 136,335 "
tt14650074, 8.8 ," 120,319 "
tt0072500, 8.8 ," 97,221 "
tt0112130, 8.8 ," 88,835 "
tt0121220, 8.8 ," 84,022 "
tt0063929, 8.8 ," 76,954 "
tt0353049, 8.8 ," 69,014 "
tt1910272, 8.8 ," 68,276 "
tt3718778, 8.8 ," 63,450 "
tt10233448, 8.8 ," 56,797 "
tt0096548, 8.8 ," 55,131 "
tt14659496, 8.8 ," 55,077 "
tt11198342, 8.8 ," 46,492 "
tt0081834, 8.8 ," 31,979 "
tt3866846, 8.8 ," 31,842 "
tt2189771, 8.8 ," 31,141 "
tt2085239, 8.8 ," 30,622 "
tt11150494, 8.8 ," 28,348 "
tt1054729, 8.8 ," 27,466 "
tt2301457, 8.8 ," 26,423 "
tt2301461, 8.8 ," 26,025 "
tt2301459, 8.8 ," 25,831 "
tt1232253, 8.8 ," 25,747 "
tt1450746, 8.8 ," 25,042 "
tt1683096, 8.8 ," 22,935 "
tt13996128, 8.8 ," 22,717 "
tt1683094, 8.8 ," 22,609 "
tt11950098, 8.8 ," 21,115 "
tt2704380, 8.8 ," 20,995 "
tt0253779, 8.8 ," 20,697 "
tt2321297, 8.8 ," 20,521 "
tt0252490, 8.8 ," 20,404 "
tt13106190, 8.8 ," 19,608 "
tt11630814, 8.8 ," 18,682 "
tt0074006, 8.8 ," 18,436 "
tt0084302, 8.8 ," 16,496 "
tt13820580, 8.8 ," 16,080 "
tt2107527, 8.8 ," 15,251 "
tt2955788, 8.8 ," 14,828 "
tt14888874, 8.8 ," 14,305 "
tt1606610, 8.8 ," 14,303 "
tt10534500, 8.8 ," 14,259 "
tt10414808, 8.8 ," 14,082 "
tt3104224, 8.8 ," 14,011 "
tt2948636, 8.8 ," 13,678 "
tt14246406, 8.8 ," 13,447 "
tt2521172, 8.8 ," 13,262 "
tt20859920, 8.8 ," 12,790 "
tt0494232, 8.8 ," 12,451 "
tt10655682, 8.8 ," 12,193 "
tt10454716, 8.8 ," 12,154 "
tt0086935, 8.8 ," 12,036 "
tt0309654, 8.8 ," 11,731 "
tt0214915, 8.8 ," 11,539 "
tt13661118, 8.8 ," 11,398 "
tt1775926, 8.8 ," 11,273 "
tt10698464, 8.8 ," 11,195 "
tt1267296, 8.8 ," 10,208 "
tt2461632, 8.8 ," 10,061 "
tt0133093, 8.7 ," 1,979,735 "
tt0816692, 8.7 ," 1,964,702 "
tt0080684, 8.7 ," 1,335,237 "
tt0099685, 8.7 ," 1,207,297 "
tt0073486, 8.7 ," 1,038,685 "
tt0773262, 8.7 ," 744,286 "
tt2085059, 8.7 ," 605,306 "
tt1190634, 8.7 ," 574,499 "
tt10811166, 8.7 ," 570,738 "
tt1856010, 8.7 ," 518,593 "
tt0412142, 8.7 ," 486,484 "
tt0096697, 8.7 ," 422,146 "
tt0121955, 8.7 ," 392,776 "
tt0367279, 8.7 ," 315,820 "
tt0804503, 8.7 ," 250,978 "
tt1606375, 8.7 ," 215,514 "
tt0384766, 8.7 ," 178,742 "
tt0407362, 8.7 ," 171,305 "
tt11280740, 8.7 ," 165,897 "
tt0988824, 8.7 ," 142,606 "
tt0248654, 8.7 ," 140,310 "
tt0092455, 8.7 ," 129,546 "
tt1628033, 8.7 ," 123,297 "
tt10189514, 8.7 ," 120,312 "
tt0118421, 8.7 ," 103,414 "
tt13991232, 8.7 ," 99,354 "
tt0286486, 8.7 ," 84,475 "
tt0994314, 8.7 ," 74,518 "
tt11198334, 8.7 ," 70,068 "
tt0758745, 8.7 ," 69,888 "
tt2303687, 8.7 ," 65,315 "
tt0387764, 8.7 ," 63,737 "
tt11198338, 8.7 ," 56,210 "
tt0318871, 8.7 ," 46,097 "
tt0111958, 8.7 ," 42,324 "
tt2049116, 8.7 ," 42,318 "
tt11198352, 8.7 ," 37,778 "
tt0434706, 8.7 ," 37,755 "
tt10850932, 8.7 ," 35,614 "
tt1534360, 8.7 ," 35,118 "
tt2972426, 8.7 ," 32,177 "
